,,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
cochangescore,OneHotSupport>0,61.0,261.0,63.0,55.0,0.73,0.49,0.53,0.51,0.67
cochangescore,NeighborSupport>0,89.0,257.0,67.0,27.0,0.79,0.57,0.77,0.65,0.78
cochangescore,AllAllFinalSupportOver0,82.0,252.0,72.0,34.0,0.76,0.53,0.71,0.61,0.74
cochangescore,AndAllComplete-3-4Gram,100.0,208.0,116.0,16.0,0.7,0.46,0.86,0.6,0.75
keymove,OneHotSupport>0,158.0,200.0,50.0,32.0,0.81,0.76,0.83,0.79,0.82
keymove,NeighborSupport>0,177.0,215.0,35.0,13.0,0.89,0.83,0.93,0.88,0.9
keymove,AllAllFinalSupportOver0,177.0,209.0,41.0,13.0,0.88,0.81,0.93,0.87,0.88
keymove,AndAllComplete-3-4Gram,190.0,217.0,33.0,0.0,0.92,0.85,1.0,0.92,0.93
jump,OneHotSupport>0,55.0,308.0,54.0,23.0,0.82,0.5,0.71,0.59,0.78
jump,NeighborSupport>0,65.0,324.0,38.0,13.0,0.88,0.63,0.83,0.72,0.86
jump,AllAllFinalSupportOver0,64.0,335.0,27.0,14.0,0.91,0.7,0.82,0.76,0.87
jump,AndAllComplete-3-4Gram,75.0,359.0,3.0,3.0,0.99,0.96,0.96,0.96,0.98
movetomouse,OneHotSupport>0,18.0,360.0,32.0,30.0,0.86,0.36,0.38,0.37,0.65
movetomouse,NeighborSupport>0,33.0,381.0,11.0,15.0,0.94,0.75,0.69,0.72,0.83
movetomouse,AllAllFinalSupportOver0,38.0,385.0,7.0,10.0,0.96,0.84,0.79,0.82,0.89
movetomouse,AndAllComplete-3-4Gram,40.0,390.0,2.0,8.0,0.98,0.95,0.83,0.89,0.91
costopall,OneHotSupport>0,5.0,400.0,18.0,17.0,0.92,0.22,0.23,0.22,0.59
costopall,NeighborSupport>0,6.0,413.0,5.0,16.0,0.95,0.55,0.27,0.36,0.63
costopall,AllAllFinalSupportOver0,21.0,418.0,0.0,1.0,1.0,1.0,0.95,0.98,0.98
costopall,AndAllComplete-3-4Gram,19.0,418.0,0.0,3.0,0.99,1.0,0.86,0.93,0.93
