,,,support_thred,jd_diff_thred
movetomouse,All,0,0.2,
movetomouse,All,1,0.2,
movetomouse,All,2,0.2,
movetomouse,All,3,0.2,
movetomouse,All,4,0.2,
movetomouse,All,5,0.2,
movetomouse,All,6,0.2,
movetomouse,All,7,0.2,
movetomouse,All,8,0.2,
movetomouse,All,9,0.2,
movetomouse,AndAll,0,,0.3
movetomouse,AndAll,1,,0.3
movetomouse,AndAll,2,,0.3
movetomouse,AndAll,3,,0.3
movetomouse,AndAll,4,,0.3
movetomouse,AndAll,5,,0.3
movetomouse,AndAll,6,,0.3
movetomouse,AndAll,7,,0.3
movetomouse,AndAll,8,,0.3
movetomouse,AndAll,9,,0.3
